8/15/16,20.32,apos shopper's drug toron
8/15/16,66.26,apos essence of life toron
8/15/16,1.00,mb-email money trf
8/15/16,89.00,mb-email money trf
8/12/16,50.00,fpos go transit union statoron
8/12/16,80.06,
8/12/16,9.59,michaels #4936 toron
8/10/16,5.94,apos essence of life toron
8/10/16,1.91,apos pizza pizza # 4 toron
8/10/16,4.51,apos shopper's drug toron
8/9/16,2.03,jacobs hardware toron
8/9/16,7.90,apos canada computer toron
8/8/16,3.38,apos shopper's drug toron
8/8/16,7.66,jacobs hardware toron
8/8/16,10.17,apos dollarama # 666 toron
8/8/16,2.28,bulk barn # 700 toront toron
8/8/16,13.13,apos shopper's drug toron
8/3/16,21.80,fpos dollarama # 666 toron
8/2/16,5.64,fpos shopper's drug mart toron
8/1/16,35.98,nslsc
8/1/16,112.13,pc to 4538112021956012
8/1/16,48.00,pc-royal bank visa
8/1/16,36.00,pc-amazon.ca rewards visa card
8/1/16,244.62,ipos rogers.com
8/1/16,1.00,pc-email money trf
8/1/16,359.00,pc-email money trf
8/1/16,40.95,ramen isshin toron
8/9/16,805.09,canada,tax refund
8/5/16,64.60,mb-email money trf,deposit
8/5/16,85.00,mb-email money trf,deposit
8/5/16,70.16,roy thomson hal,payroll deposit
